date,signal,instrument,pnl_pts,entry_num,direction,year
2025-01-21,DAX_S2,DAX,-3.1,1,LONG,2025
2025-01-21,DAX_S2,DAX,24.4,2,LONG,2025
2025-01-21,DAX_S2,DAX,15.9,3,LONG,2025
2025-01-22,DAX_S2,DAX,-6.6,1,SHORT,2025
2025-01-22,DAX_S2,DAX,13.5,2,SHORT,2025
2025-01-22,DAX_S2,DAX,23.5,3,SHORT,2025
2025-01-23,DAX_S2,DAX,8.4,1,LONG,2025
2025-01-23,DAX_S2,DAX,18.9,2,LONG,2025
2025-01-23,DAX_S2,DAX,20.8,3,LONG,2025
2025-01-24,DAX_S2,DAX,-2.0,1,SHORT,2025
2025-01-24,DAX_S2,DAX,0.0,2,SHORT,2025
2025-01-24,DAX_S2,DAX,48.9,3,SHORT,2025
2025-01-27,DAX_S2,DAX,-2.0,1,LONG,2025
2025-01-27,DAX_S2,DAX,-2.9,2,LONG,2025
2025-01-27,DAX_S2,DAX,-17.0,3,LONG,2025
2025-01-28,DAX_S2,DAX,-16.5,1,SHORT,2025
2025-01-28,DAX_S2,DAX,-7.5,2,SHORT,2025
2025-01-28,DAX_S2,DAX,-12.5,3,LONG,2025
2025-01-29,DAX_S2,DAX,-7.0,1,SHORT,2025
2025-01-29,DAX_S2,DAX,-13.0,2,SHORT,2025
2025-01-29,DAX_S2,DAX,65.0,3,LONG,2025
2025-01-30,DAX_S2,DAX,-4.0,1,SHORT,2025
2025-01-30,DAX_S2,DAX,-3.0,2,SHORT,2025
2025-01-30,DAX_S2,DAX,12.5,3,SHORT,2025
2025-01-31,DAX_S2,DAX,-4.6,1,LONG,2025
2025-01-31,DAX_S2,DAX,2.8,2,LONG,2025
2025-01-31,DAX_S2,DAX,5.6,3,SHORT,2025
2025-02-03,DAX_S2,DAX,4.0,1,SHORT,2025
2025-02-03,DAX_S2,DAX,3.0,2,SHORT,2025
2025-02-03,DAX_S2,DAX,17.3,3,SHORT,2025
2025-02-04,DAX_S2,DAX,6.0,1,LONG,2025
2025-02-04,DAX_S2,DAX,1.0,2,LONG,2025
2025-02-04,DAX_S2,DAX,7.1,3,LONG,2025
2025-02-05,DAX_S2,DAX,32.0,1,LONG,2025
2025-02-05,DAX_S2,DAX,13.5,2,LONG,2025
2025-02-05,DAX_S2,DAX,18.5,3,LONG,2025
2025-02-06,DAX_S2,DAX,-8.1,1,SHORT,2025
2025-02-06,DAX_S2,DAX,0.0,2,SHORT,2025
2025-02-06,DAX_S2,DAX,16.9,3,LONG,2025
2025-02-07,DAX_S2,DAX,-7.0,1,SHORT,2025
2025-02-07,DAX_S2,DAX,-16.5,2,SHORT,2025
2025-02-07,DAX_S2,DAX,-12.5,3,SHORT,2025
2025-02-10,DAX_S2,DAX,-13.6,1,SHORT,2025
2025-02-10,DAX_S2,DAX,11.4,2,LONG,2025
2025-02-10,DAX_S2,DAX,7.9,3,LONG,2025
2025-02-11,DAX_S2,DAX,-14.1,1,SHORT,2025
2025-02-11,DAX_S2,DAX,7.9,2,LONG,2025
2025-02-11,DAX_S2,DAX,-2.6,3,LONG,2025
2025-02-12,DAX_S2,DAX,60.0,1,SHORT,2025
2025-02-12,DAX_S2,DAX,38.2,2,SHORT,2025
2025-02-12,DAX_S2,DAX,39.4,3,SHORT,2025
2025-02-13,DAX_S2,DAX,-5.5,1,LONG,2025
2025-02-13,DAX_S2,DAX,-17.5,2,SHORT,2025
2025-02-13,DAX_S2,DAX,-4.6,3,SHORT,2025
2025-02-14,DAX_S2,DAX,-6.6,1,SHORT,2025
2025-02-14,DAX_S2,DAX,-10.0,2,SHORT,2025
2025-02-14,DAX_S2,DAX,-0.5,3,LONG,2025
2025-02-17,DAX_S2,DAX,12.4,1,SHORT,2025
2025-02-17,DAX_S2,DAX,5.5,2,SHORT,2025
2025-02-17,DAX_S2,DAX,7.0,3,SHORT,2025
2025-02-18,DAX_S2,DAX,-5.6,1,LONG,2025
2025-02-18,DAX_S2,DAX,6.8,2,LONG,2025
2025-02-18,DAX_S2,DAX,8.4,3,LONG,2025
2025-02-19,DAX_S2,DAX,-13.0,1,SHORT,2025
2025-02-19,DAX_S2,DAX,-25.5,2,SHORT,2025
2025-02-19,DAX_S2,DAX,-25.5,3,LONG,2025
2025-02-20,DAX_S2,DAX,-15.0,1,LONG,2025
